SKU,manufacturer,Peak Torque,Rated Torque,Rated Speed,Max Speed,motor weight,motor cost,shipping?,other costs,other weight,,total weight,total cost,torque density,torque density per dollar,power at nominal speed,continuous power density
GIM6010-6,SteadyWin,9,3,300,400,0.318,279.9,,75,,,0.318,354.9,28.30188679,0.079746088,94.24777961,296.3766654
GIM6010-8,SteadyWin,11,5,120,420,0.388,,,,,,0.388,0,28.35051546,#DIV/0!,62.83185307,161.9377656
GIM6010-36,SteadyWin,45,18,50,90,0.574,319.9,16.03,,,,0.574,335.93,78.39721254,0.233373657,94.24777961,164.194738
GIM6010-48,SteadyWin,66,30,20,70,0.776,144.9,19.24,,,,0.776,164.14,85.05154639,0.518164655,62.83185307,80.96888282
GIM8108-6,SteadyWin,18.25,5.46,311,363,0.567,,,,,,0.567,0,32.18694885,#DIV/0!,177.8204274,313.616274
GIM8108-8,SteadyWin,22,7.5,110,320,0.396,,,,,,0.396,0,55.55555556,#DIV/0!,86.39379797,218.1661565
GIM8108-9,SteadyWin,27.38,8.16,207,242,0.567,,,,,,0.567,0,48.28924162,#DIV/0!,176.8842328,311.9651372
GIM8108-36,SteadyWin,109.5,32.76,51,60,0.76,,,,,,0.76,0,144.0789474,#DIV/0!,174.9615781,230.2126027
GIM8108-48,SteadyWin,132,45,18,53,0.78,164.9,22.46,,,,0.78,187.36,169.2307692,0.903238521,84.82300165,108.747438
GIM8115-6,SteadyWin,38,9.1,177,218,0.705,,,,,,0.705,0,53.90070922,#DIV/0!,168.6721096,239.2512192
GIM8115-9,SteadyWin,46,13.8,118,146,0.705,,,,,,0.705,0,65.24822695,#DIV/0!,170.5256492,241.8803535
GIM8115-36,SteadyWin,228,54,29,36,0.96,,,,,,0.96,0,237.5,#DIV/0!,163.9911365,170.8241005
GIM10015-9,SteadyWin,104,32.6,77.4,105,1.372,,,,,,1.372,0,75.80174927,#DIV/0!,264.2330749,192.5897047
GIM10015-10,SteadyWin,45,25,150,185,1.21,,,,,,1.21,0,37.19008264,#DIV/0!,392.6990817,324.5446956
CyberGear micromotor,Xioami,12,4,240,296,0.317,90.22,5,,,,0.317,95.22,37.85488959,0.397551876,100.5309649,317.1323814
,Faradyi,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
